Source Barcode,Source Column,Source Row,Destination Barcode,Destination Column,Destination Row,Volume,Note
E3P00000776,1,4,destination1,1,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,1,12,2.5,SJ000986010-1
E3P00000776,1,4,destination1,1,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,2,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,2,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,2,12,2.5,SJ000986010-1
E3P00000776,1,4,destination1,2,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,3,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,3,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,4,1,2.5,SJ000986010-1
E3P00000776,1,4,destination1,4,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,4,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,5,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,5,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,6,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,6,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,7,7,2.5,SJ000986010-1
E3P00000776,1,4,destination1,7,8,2.5,SJ000986010-1
E3P00000776,1,4,destination1,7,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,8,15,2.5,SJ000986010-1
E3P00000776,1,4,destination1,9,2,2.5,SJ000986010-1
E3P00000776,1,4,destination1,11,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,12,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,13,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,14,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,15,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,15,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,16,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,16,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,17,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,17,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,18,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,18,6,2.5,SJ000986010-1
E3P00000776,1,4,destination1,18,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,19,1,2.5,SJ000986010-1
E3P00000776,1,4,destination1,19,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,19,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,20,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,20,7,2.5,SJ000986010-1
E3P00000776,1,4,destination1,20,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,21,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,21,7,2.5,SJ000986010-1
E3P00000776,1,4,destination1,21,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,21,14,2.5,SJ000986010-1
E3P00000776,1,4,destination1,22,2,2.5,SJ000986010-1
E3P00000776,1,4,destination1,22,3,2.5,SJ000986010-1
E3P00000776,1,4,destination1,22,7,2.5,SJ000986010-1
E3P00000776,1,4,destination1,22,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,22,14,2.5,SJ000986010-1
E3P00000776,1,4,destination1,23,7,2.5,SJ000986010-1
E3P00000776,1,4,destination1,23,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,23,14,2.5,SJ000986010-1
E3P00000776,1,4,destination1,24,7,2.5,SJ000986010-1
E3P00000776,1,4,destination1,24,11,2.5,SJ000986010-1
E3P00000776,1,4,destination1,24,14,2.5,SJ000986010-1
E3P00000776,1,8,destination1,1,4,2.5,SJ000312371-8
E3P00000776,1,8,destination1,2,3,2.5,SJ000312371-8
E3P00000776,1,8,destination1,5,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,5,9,2.5,SJ000312371-8
E3P00000776,1,8,destination1,5,12,2.5,SJ000312371-8
E3P00000776,1,8,destination1,6,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,6,11,2.5,SJ000312371-8
E3P00000776,1,8,destination1,6,16,2.5,SJ000312371-8
E3P00000776,1,8,destination1,7,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,8,1,2.5,SJ000312371-8
E3P00000776,1,8,destination1,8,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,9,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,9,13,2.5,SJ000312371-8
E3P00000776,1,8,destination1,10,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,10,8,2.5,SJ000312371-8
E3P00000776,1,8,destination1,10,13,2.5,SJ000312371-8
E3P00000776,1,8,destination1,11,4,2.5,SJ000312371-8
E3P00000776,1,8,destination1,11,5,2.5,SJ000312371-8
E3P00000776,1,8,destination1,11,7,2.5,SJ000312371-8
