plateid	plateDate	plateType	plateLocation	PLATENAME	plateSet	plateThawCount	sample	well	sampleAmount_uL	sampleConc_mM	sampleid	sampleVendor	sampleSource	batchProject	SALT_NAME	SALT_EQUIVALENTS	SOLVATE_NAME	SOLVATE_EQUIVALENTS	synonym_primary	MOLSMILES	BATCH_COMMENT	CAS	LOT
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000312343-2	A01	50	10	M2936	BOSCHE	VENDOR	APPROVED_DRUG	SODIUM(I)	1	NO_SOLVATE	0	MONTELUKAST SODIUM	CC(C)(O)c1ccccc1CCC(SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3	For the treatment of asthma| selectively antagonizes leukotriene D4 (LTD4) at the cysteinyl leukotriene receptor, CysLT1, in the human airway| FDA320 synergy studies		
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000285285-13	B01	50	10.333	23662	CAYMAN	VENDOR	SF3B1	NO_SALT	0	NO_SOLVATE	0	ALTRETAMINE	CN(C)c1nc(nc(n1)N(C)C)N(C)C	SJCH0092734	645-05-6	0517041-2
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000312344-5	C01	50	11.75	N5536	SIGMA	VENDOR	PXR	CHLORIDE	1	NO_SOLVATE	0	NEFAZODONE	CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4	PXR | INVENTORY ID: SJCH0088094	82752-99-6	103K4706
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000986010-1	D01	50	8.667	22759	CAYMAN	VENDOR	CHEMPROBE	NO_SALT	0	NO_SOLVATE	0	INDISULAM	NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23	Indisulam is a sulfonamide with anticancer activity. Indisulam induces proteasomal degradation of RNA binding motif protein 39 (RBM39) through association with the CUL4-DCAF15 E3 ubiquitin ligase in vitro. Science 356(6336), (2017).	165668-41-7	NA
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000982892-2	E01	50	10	sc-391691	SANTA_CRUZ	VENDOR	SF3B1	NO_SALT	0	NO_SOLVATE	0	PLADIENOLIDE B	CC[C@H](O)[C@@H](C)[C@H]1O[C@@H]1C[C@H](C)\C=C\C=C(/C)\[C@H]2OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(=O)C)\C=C\[C@@H]2C	SJCH0092697	445493-23-2	H2118
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000312345-16	F01	50	9	I1406	SIGMA	VENDOR	PXR	CHLORIDE	1	NO_SOLVATE	0	IRINOTECAN	CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4	SJCH0089903	100286-90-6	WXBC3715V
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000285787-7	G01	50	10	18226	CAYMAN	VENDOR	SF3B1	SODIUM(I)	1	NO_SOLVATE	0	HYDROCORTISONE HEMISUCCINATE	C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]4(C)C[C@H](O)[C@H]23	SJCH0098481	125-04-2	0500758-14
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000312371-8	H01	50	11	S1200	SELLECK	VENDOR	MYCMEDULLO	NO_SALT	0	NO_SOLVATE	0	DECITABINE	NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2	MYCMEDULLO | 2353-33-5 | Purchased for in vivo studies		
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000110842-9	I01	50	5.5	14332	CAYMAN	VENDOR	SF3B1	CHLORIDE	1	NO_SOLVATE	0	SEROTONIN HYDROCHLORIDE	NCCc1c[nH]c2ccc(O)cc12	SJCH0098477	153-98-0	0447051-49
E3P00000776	Tue Apr 16 16:57:42 2019	384 Well Echo Screening	PickUp	NA	NA\NA	0	SJ000312363-15	J01	50	8.5	100930	MEDKOO	VENDOR	SF3B1	TARTRATE	2	NO_SOLVATE	0	VINORELBINE	CCC1=C[C@@H]2CN(C1)Cc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC	SJCH0092701	125317-39-7	TZC50930
